Country,Year,Forecast_CO2,Lower_95_CI,Upper_95_CI
China,2024,10629.823089857198,10219.68896887899,11039.957210835406
China,2025,10876.906034111325,10466.771913133118,11287.040155089533
China,2026,11092.605127223826,10682.471006245618,11502.739248202033
China,2027,11280.90666665223,10870.772545674023,11691.040787630438
China,2028,11445.29062042534,11035.156499447132,11855.424741403547
China,2029,11588.794939827649,11178.660818849441,11998.929060805856
China,2030,11714.07170324912,11303.937582270912,12124.205824227327
China,2031,11823.436128785053,11413.302007806846,12233.570249763261
China,2032,11918.909361379403,11508.775240401195,12329.04348235761
China,2033,12002.255825253247,11592.12170427504,12412.389946231455
China,2034,12075.01583192223,11664.881710944022,12485.149952900438
China,2035,12138.53404642601,11728.399925447802,12548.668167404217
China,2036,12193.984337849195,11783.850216870987,12604.118458827403
China,2037,12242.391473391921,11832.257352413713,12652.525594370129
China,2038,12284.650056914386,11874.515935936179,12694.784177892594
China,2039,12321.541061955348,11911.40694097714,12731.675182933555
China,2040,12353.746264768375,11943.612143790167,12763.880385746583
China,2041,12381.86084411032,11971.726723132113,12791.994965088528
China,2042,12406.4043806365,11996.270259658293,12816.538501614708
China,2043,12427.830459180495,12017.696338202288,12837.964580158703
India,2024,2693.5200538132763,2635.077470379805,2751.9626372467474
India,2025,2812.930134614489,2754.487551181018,2871.37271804796
India,2026,2931.7431650116955,2873.3005815782244,2990.1857484451666
India,2027,3049.9621302569158,2991.5195468234447,3108.404713690387
India,2028,3167.5900006759102,3109.147417242439,3226.0325841093813
India,2029,3284.62973174281,3226.1871483093387,3343.072315176281
India,2030,3401.0842641543745,3342.6416807209034,3459.5268475878456
India,2031,3516.9565239038816,3458.5139404704105,3575.3991073373527
India,2032,3632.249422354641,3573.80683892117,3690.692005788112
India,2033,3746.965856313147,3688.523272879676,3805.408439746618
India,2034,3861.1087081018604,3802.6661246683893,3919.5512915353315
India,2035,3974.68084563163,3916.2382621981587,4033.123429065101
India,2036,4087.68512247375,4029.242539040279,4146.127705907221
India,2037,4200.124377931661,4141.68179449819,4258.566961365132
India,2038,4312.001437112282,4253.558853678811,4370.444020545752
India,2039,4423.3191109969985,4364.876527563528,4481.761694430469
India,2040,4534.080196512293,4475.637613078822,4592.522779945763
India,2041,4644.2874766000095,4585.844893166539,4702.73006003348
India,2042,4753.943720287289,4695.501136853818,4812.386303720759
India,2043,4863.051682756131,4804.609099322661,4921.494266189602
Japan,2024,1138.6610665465892,1073.5176437838209,1203.8044893093575
Japan,2025,1138.7538705424013,1073.610447779633,1203.8972933051696
Japan,2026,1138.8314153569975,1073.687992594229,1203.974838119766
Japan,2027,1138.8962099622092,1073.7527871994407,1204.0396327249778
Japan,2028,1138.950350795306,1073.8069280325376,1204.0937735580742
Japan,2029,1138.9955895894743,1073.8521668267058,1204.1390123522428
Japan,2030,1139.0333900513576,1073.889967288589,1204.1768128141262
Japan,2031,1139.064975219461,1073.9215524566926,1204.2083979822296
Japan,2032,1139.0913670357093,1073.9479442729407,1204.2347897984778
Japan,2033,1139.113419410501,1073.9699966477324,1204.2568421732694
Japan,2034,1139.131845851083,1073.9884230883144,1204.2752686138515
Japan,2035,1139.1472425471638,1074.0038197843955,1204.2906653099321
Japan,2036,1139.1601076607026,1074.0166848979343,1204.3035304234709
Japan,2037,1139.1708574440001,1074.0274346812316,1204.3142802067687
Japan,2038,1139.179839707592,1074.0364169448235,1204.3232624703605
Japan,2039,1139.1873450737,1074.0439223109315,1204.3307678364686
Japan,2040,1139.1936163793507,1074.0501936165824,1204.337039142119
Japan,2041,1139.1988565333947,1074.0554337706262,1204.3422792961633
Japan,2042,1139.2032350816482,1074.0598123188797,1204.3466578444168
